id_order;country;state;city;weight;order_status
19;España;Castelló;CASTELLON;0.300000;Reembolsado
21;España;Castelló;CASTELLON;0.500000;Reembolsado
26;España;Castelló;Castellon;0.330000;Reembolsado
28;España;"A Coruña";"La picota Mazaricos";46.830000;"Información transportista UCX"
31;España;Sevilla;"Valencina de la Concepción ";6.000000;Enviado
32;España;Barcelona;Barcelona;6.560000;Enviado
33;España;Girona;Roses;1.550000;Enviado
34;España;Girona;Roses;1.550000;Reembolsado
38;España;Castelló;Cirat;30.600000;Entregado
39;España;Murcia;"Campos del Río";0.890000;Enviado
40;España;Cáceres;CACERES;0.540000;Enviado
41;España;Madrid;Madrid;233.080000;Enviado
42;España;Málaga;Malaga;4.070000;Entregado
43;España;Tarragona;"la pobla de montornes";28.050000;Enviado
44;España;Barcelona;Mongat;2.240000;Entregado
45;España;Madrid;Madrid;1.130000;Enviado
46;España;Castelló;Benafer;1.990000;Enviado
47;España;"A Coruña";"Santiago de Compostela";5.400000;Enviado
48;España;Madrid;"Madrid ";0.410000;Enviado
49;España;Cantabria;"Herrera ";6.210000;Enviado
50;España;Madrid;Madrid;0.180000;Enviado
51;España;Gipuzkoa;"Donostia ";46.000000;Reembolsado
52;España;Pontevedra;Vigo;-7.140000;Reembolsado
53;España;Madrid;Madrid;1.480000;Enviado
54;España;Cáceres;CACERES;93.500000;Enviado
55;España;Pontevedra;Vigo;-7.390000;Entregado
56;España;Gipuzkoa;"Donostia ";68.000000;Enviado
57;España;"A Coruña";"SANTIAGO DE COMPOSTELA";2.880000;Enviado
63;España;Madrid;Madrid;292.200000;Enviado
64;España;Pontevedra;Vigo;3.710000;Enviado
72;España;Girona;Olot;96.300000;Enviado
75;España;"A Coruña";"SANTIAGO DE COMPOSTELA";3.160000;"Recogido por cliente en almacén"
76;España;Barcelona;Barcelona;3.260000;Entregado
77;España;Pontevedra;Vigo;434.250000;Entregado
78;España;Gipuzkoa;"Donostia ";87.000000;Entregado
79;España;Madrid;Madrid;88.200000;Entregado
80;España;Madrid;MADRID;0.410000;Entregado
81;España;Madrid;Madrid;4.920000;Entregado
83;España;Barcelona;Barcelona;1.370000;Entregado
86;España;València;Valencia;160.500000;Entregado
87;Francia;Nord;Lille;1.490000;Entregado
88;España;"Palma de Mallorca";"Palma de Mallorca";1.130000;Entregado
89;España;Pontevedra;Pontevedra;14.400000;Entregado
90;España;Lugo;Lugo;5.000000;Entregado
91;España;Madrid;Madrid;43.830000;Enviado
92;Francia;Seine-Maritime;"LE HAVRE";0.540000;Entregado
93;España;Castelló;Onda;19.480000;"Recogido por cliente en almacén"
94;España;Girona;Palamos;0.180000;Entregado
98;España;Barcelona;Montgat;0.660000;Entregado
99;España;Pontevedra;Vigo;2.910000;Entregado
100;Francia;Bouches-du-Rhône;"Fontvieille ";410.940000;Entregado
101;España;Málaga;"Coín ";1.800000;Entregado
103;España;Málaga;"Malaga ";5.000000;Entregado
104;España;Madrid;"Sevilla La Nueva";0.890000;Entregado
105;Francia;Nord;"Erquinghem lys";3.190000;Entregado
106;España;Barcelona;"Sant Joan DespÍ";2.320000;Entregado
107;Francia;Nord;Loos;7.150000;Reembolsado
108;España;Madrid;Madrid;47.500000;Entregado
109;España;Barcelona;Barcelona;93.500000;Entregado
111;España;Barcelona;Barcelona;0.970000;Entregado
112;España;Barcelona;Barcelona;0.930000;Entregado
113;España;Madrid;"Rivas-Vaciamadrid ";0.890000;Entregado
115;Francia;Aveyron;"Sonnac ";0.950000;Entregado
117;Francia;Cher;"FAVERDINES ";1.200000;Entregado
119;España;Madrid;"Villar del Olmo";285.000000;Entregado
121;España;Barcelona;Barcelona;1.820000;Entregado
122;España;Lugo;"O Vicedo";42.300000;Entregado
123;Francia;"Seine, Hauts-de-";Neuilly;4.640000;Entregado
124;España;Madrid;Madrid;4.530000;Entregado
125;Francia;Seine-Saint-Denis;Pantin;3.540000;Entregado
126;España;Cádiz;"La linea de la concepcion";0.530000;Entregado
127;Francia;París;paris;3.920000;Entregado
128;Francia;Hérault;Pérols;261.960000;Entregado
129;España;Cádiz;"PUENTE MAYORGA";167.500000;Entregado
130;España;Madrid;Madrid;7.120000;Entregado
131;España;Madrid;Madrid;6.520000;Entregado
132;España;Barcelona;Barcelona;1.180000;Entregado
133;España;Madrid;Madrid;1.460000;"Recogido por cliente en almacén"
135;España;Barcelona;Barcelona;5.620000;Entregado
136;España;Almería;Almería;33.200000;Entregado
137;España;València;VALENCIA;4.250000;Entregado
139;España;Madrid;"MADRID ";0.350000;Entregado
140;España;Barcelona;Barcelona;17.000000;Entregado
141;España;Girona;Monells;803.550000;Entregado
142;Francia;Val-d'Oise;"Butry sur Oise";0.350000;Entregado
143;España;Málaga;"Coín ";217.800000;Entregado
144;España;Asturias;"TAPIA DE CASARIEGO";4.000000;Entregado
145;Francia;Corse-du-Sud;"AJACCIO ";5.790000;Entregado
146;Francia;Cher;"FAVERDINES ";51.500000;Entregado
147;España;Barcelona;"sant cugat del vallès";5.900000;"Recogido por cliente en almacén"
148;Francia;Gironde;Bordeaux;0.350000;Entregado
149;Francia;Gironde;Bordeaux;0.350000;Reembolsado
150;España;Madrid;Madrid;42.500000;Entregado
151;España;Bizkaia;bilbao;6.000000;Entregado
153;España;Barcelona;Terrassa;1.920000;Entregado
154;España;Barcelona;Barcelona;195.300000;Entregado
155;Francia;Mayenne;Vimartin-sur-Orthe;277.150000;Entregado
156;España;Málaga;Marbella;3.820000;Entregado
157;España;Málaga;Marbella;2.360000;Reembolsado
158;España;Alacant;Busot;146.100000;Entregado
159;Francia;París;"Paris ";178.500000;Entregado
160;España;Jaén;Úbeda;2.090000;Entregado
161;España;Madrid;"COLMENAR DE OREJA";1036.000000;Entregado
163;Francia;"Rhin, Bas-";ITTENHEIM;180.500000;Entregado
164;España;"A Coruña";Noia;1.920000;Entregado
165;España;Barcelona;"El Masnou";6.730000;Entregado
166;España;Cádiz;"Jerez de la Frontera";0.530000;Entregado
167;España;Cádiz;Caidz;7.340000;Entregado
168;España;"Palma de Mallorca";"Puerto de Alcudia ";5.000000;Entregado
169;Francia;París;"Paris ";10.030000;Entregado
177;España;Málaga;"Málaga ";0.880000;Entregado
178;España;Ibiza;"Santa Eulalia del Rio";9.480000;Entregado
179;España;Bizkaia;BILBAO;7.910000;Entregado
180;Francia;"Savoie, Haute-";Morzine;8.670000;Entregado
181;Francia;París;Paris;219.150000;Entregado
182;España;Bizkaia;Bilbao;7.230000;Entregado
183;España;Barcelona;"BELLATERRA (Cerdanyola del Vallés)";297.500000;Entregado
184;Francia;Nord;Lille;182.320000;Entregado
185;Francia;Landes;"Pissos ";3.490000;Entregado
186;España;Barcelona;barcelona;66.400000;Entregado
187;España;Jaén;Úbeda;153.500000;Entregado
188;Francia;Lot-et-Garonne;"Saint Martin de Villereal";1.740000;Entregado
189;España;Madrid;Madrid;7.770000;Entregado
190;España;Madrid;Madrid;3.960000;Entregado
191;España;Málaga;Málaga;2.000000;Entregado
192;Francia;Orne;Bellavilliers;204.540000;Entregado
193;España;Málaga;"Los Boliches, Fuengirola";5.620000;Entregado
194;España;Barcelona;Palafolls;74.500000;Entregado
195;España;Gipuzkoa;"San sebastian";0.530000;Entregado
196;Francia;París;Paris;5.290000;Entregado
197;Francia;París;Paris;221.000000;Entregado
198;España;Zaragoza;ZARAGOZA;52.000000;Entregado
199;España;Sevilla;"mairena del Aljarafe";9.530000;Entregado
200;España;Bizkaia;Ortuella;146.100000;Entregado
201;España;Madrid;Madrid;58.440000;Entregado
202;España;"A Coruña";"Santiago de Compostela";1.220000;"Recogido por cliente en almacén"
203;España;Cantabria;Arnuero;208.320000;Entregado
204;España;"A Coruña";Trapagaran;60.200000;Entregado
205;España;Cádiz;"Jerez de la frontera";62.500000;Entregado
206;España;Cáceres;"Cuacos de Yuste";42.000000;Entregado
207;España;Barcelona;Sabadell;0.890000;Entregado
208;Francia;París;Paris;0.530000;Entregado
209;España;Málaga;"Colmenar Viejo";11.440000;Entregado
210;España;Tarragona;Solivella;6.610000;Entregado
211;España;Málaga;Málaga;29.220000;Entregado
212;España;Madrid;Madrid;7.180000;Reembolsado
213;España;Madrid;Madrid;7.930000;Entregado
214;España;"Palma de Mallorca";Palma;1.820000;Entregado
216;España;Málaga;Marbella;80.500000;Entregado
218;Francia;París;Clichy;289.250000;Entregado
220;Francia;París;Paris;286.440000;Entregado
221;España;Castelló;CASTELLON;0.660000;Prueba
222;España;Castelló;castellon;0.890000;Prueba
223;España;Madrid;madrid;3.540000;Entregado
224;España;Barcelona;"Sant Adrià del Besós";0.660000;Entregado
225;España;Barcelona;TORELLO;24.180000;Entregado
226;Francia;Lot-et-Garonne;"Saint Martin de Villereal";136.000000;Entregado
227;España;Barcelona;"Sant Adrià del Besós";4.330000;Entregado
228;España;València;Valencia;10.350000;"Recogido por cliente en almacén"
229;España;Valladolid;Valladolid;3.270000;Entregado
230;Francia;"Garonne, Haute-";Beauzelle;2.450000;Entregado
231;Francia;Yvelines;Maurecourt;1.250000;Entregado
232;España;Zaragoza;"Zaragoza ";0.600000;Entregado
233;Francia;París;PARIS;0.530000;Entregado
234;España;Gipuzkoa;Donostia;1.430000;Entregado
236;Francia;Aveyron;"Sonnac ";69.000000;Entregado
237;España;Madrid;Madrid;258.700000;Entregado
238;Francia;París;Paris;6.850000;Entregado
239;España;Sevilla;"Valencina de la Concepción ";2.000000;Entregado
240;España;Sevilla;"Valencina de la Concepción ";2.000000;Reembolsado
241;España;Jaén;Úbeda;8.450000;Entregado
242;España;Barcelona;"L'HOSPITALET DE LLOBREGAT";0.890000;"Recogido por cliente en almacén"
243;España;Barcelona;"El Masnou";5.600000;Entregado
244;Francia;París;Paris;3.180000;Entregado
245;Francia;Aveyron;Golinhac;0.350000;Entregado
246;Francia;"Seine, Hauts-de-";"Nanterre FRANCE";2.120000;Entregado
247;España;Sevilla;Sevilla;9.210000;Entregado
248;España;Tarragona;Alcanar;180.500000;"Recogido por cliente en almacén"
249;España;Madrid;galapagar;2.000000;Entregado
250;Francia;"Savoie, Haute-";Annecy;592.650000;Entregado
251;Francia;Seine-Saint-Denis;"Le Blanc-Mesnil";59.500000;Entregado
252;España;Madrid;Madrid;277.590000;Entregado
253;Francia;París;"PARIS 18";171.000000;Entregado
254;España;Valladolid;Valladolid;3.820000;Entregado
255;Francia;Côtes-d'Armor;"Minihy Tréguier ";59.500000;Entregado
256;España;"A Coruña";"Santiago de Compostela";1.560000;Entregado
257;Francia;París;PARIS;79.500000;Entregado
258;Francia;Yvelines;" Louveciennes ";56.730000;Entregado
259;España;Jaén;Úbeda;441.830000;Entregado
260;España;Barcelona;"Sant Cugat del Vallès";455.620000;Entregado
261;España;"A Coruña";Noia;296.400000;Entregado
262;Francia;Alpes-Maritimes;nice;4.000000;Entregado
263;España;Ourense;VERIN;12.030000;Entregado
264;España;València;Godella;9.060000;Entregado
265;Francia;Eure;MAINNEVILLE;520.500000;Entregado
266;Francia;París;Paris;9.150000;"Recogido por cliente en almacén"
267;Francia;Finistère;"LA TRINITE SUR MER";253.000000;Entregado
268;España;Huelva;Aracena;50.000000;Entregado
269;Francia;Vaucluse;PERTUIS;35.220000;Entregado
270;Francia;Pyrénées-Orientales;"Thues Entre Valls";0.910000;Entregado
271;España;Barcelona;"Sant Joan Despí";0.600000;Entregado
272;Francia;Yvelines;"Prunay en Yvelines ";5.400000;Entregado
273;Francia;"Garonne, Haute-";Beauzelle;66.500000;Entregado
274;Francia;Charente-Maritime;SURGERES;161.500000;Entregado
277;España;Madrid;Madrid;8.420000;Entregado
278;España;Barcelona;"Arenys de Mar";238.000000;Entregado
